anorexia,muntah,lemah,kurang respon,dehidrasi,demam,diare,hipersevalis,radang telinga,batuk,hidung meler,gatal,telinga keropeng,pilek,bersin2,mata berair,penyakit
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,panleukopenia
Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,panleukopenia
Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,panleukopenia
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,scabies
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,enteritis
No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,fcv
No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,fcv
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,fcv
No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,fcv
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,fcv
Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,fcv
No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,fcv
No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,fcv
No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,fcv
No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,fcv
Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,fcv
No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,fcv
Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,fcv
Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,fcv
Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,fcv
No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,fcv
